,Tiempo,Presión Final IM L1_Presion,Presión Aeropuerto IM L1,Presión SacBajo L1,Presión Aeropuerto IM L2,Presión MiraFlores IM L1,Presión Aeropuerto IM L3,Presión Tanque Elevado IM L1,Presión L1 T15 Solidaridad,Presión L1 T17 Solidaridad
0,11:40:00,,,,,,,,0.4897960424423218,
1,11:45:00,,,,,,,,0.4897960424423218,
2,11:50:00,,,,,,,,0.4986477792263031,
3,11:55:00,,,,,,,,0.5001230835914612,
4,12:00:00,,,,,,,,0.5001230835914612,
5,12:05:00,,,,,,,,0.5060242414474487,
6,12:10:00,,,,,,,,0.5104501247406006,
7,12:15:00,,,,,,,,0.513400673866272,
8,12:20:00,,,,,,,,0.5119253993034363,
9,12:25:00,,,,,,,,0.5089747905731201,
10,12:30:00,,,,,,,,0.5119253993034363,
11,12:35:00,,,,,,,,0.513400673866272,
12,12:40:00,,,,,,,,0.5104501247406006,
13,12:45:00,,,,,,,,0.5074995160102844,
14,12:50:00,,,,,,,,0.5074995160102844,
15,12:55:00,,,,,,,,0.5060242414474487,
16,13:00:00,,,,,,,1.453993082046509,0.5089747905731201,
17,13:05:00,,2.301794052124023,,0.0,,2.214265108108521,1.458333253860474,0.5119253993034363,
18,13:10:00,,2.338686227798462,,0.0,,2.214265108108521,1.472800970077515,0.5163512825965881,
19,13:15:00,,2.335069417953491,,0.0,,2.212095022201538,1.495225667953491,0.5178265571594238,
20,13:20:00,,2.337239503860474,,0.0,,2.214265108108521,1.483651518821716,0.5207771062850952,
21,13:25:00,,2.351707220077514,0.7295283675193787,0.0,,2.214988470077514,1.486545205116272,0.5266782641410828,
22,13:30:00,,2.384982585906982,0.720124363899231,0.0,,2.209924697875977,1.487268447875977,0.5311041474342346,
23,13:35:00,,2.390769720077514,0.7208477854728699,0.0,,2.212095022201538,1.498119235038757,0.5355300307273865,
24,13:40:00,,2.392216444015503,0.729889988899231,0.0,,2.21064829826355,1.503182768821716,0.5384805798530579,
25,13:45:00,,2.374131917953491,0.7262731194496155,0.0,,2.209924697875977,1.484375,0.541431188583374,
26,13:50:00,,2.389322996139526,0.7515913844108582,0.0,,2.213541746139526,1.501736044883728,0.5429064631462097,
27,13:55:00,,2.378472328186035,0.7183159589767456,0.0,,2.213541746139526,1.505352973937989,0.5443817973136902,
28,14:00:00,,2.379919052124023,0.6709346175193787,0.0,,2.213541746139526,1.501736044883728,0.5458570718765259,
29,14:05:00,,2.391493082046509,0.6774449944496155,0.0,,2.209924697875977,1.486545205116272,0.541431188583374,
30,14:10:00,,2.395109891891479,0.6948060989379883,0.0,,2.212095022201538,1.481481552124023,0.541431188583374,
31,14:15:00,,2.388599395751953,0.7024016380310059,0.0,,2.214265108108521,1.48799192905426,0.5458570718765259,
32,14:20:00,,2.403067111968994,0.7342303395271301,0.0,,2.212095022201538,1.350549697875977,0.5443817973136902,
33,14:25:00,,2.417534828186035,0.6586371660232544,0.0,,2.209924697875977,1.202980399131775,0.5488076210021973,
34,14:30:00,,2.445746421813965,0.6499565839767456,0.0,,2.208477973937988,1.198639988899231,0.5458570718765259,
35,14:35:00,,2.448640108108521,1.176576972007752,0.0,,2.211371421813965,1.13642942905426,0.5429064631462097,
36,14:40:00,,2.443576335906982,1.479673147201538,0.0,,2.211371421813965,1.121238350868225,0.5429064631462097,
37,14:45:00,,2.428385496139526,1.508608102798462,0.0,,2.21064829826355,1.118344902992248,0.5429064631462097,
38,14:50:00,,2.423321723937988,1.53935182094574,0.0,,2.21064829826355,1.134259223937989,0.541431188583374,
39,14:55:00,,2.413917779922485,1.557074666023254,0.0,,2.212095022201538,1.119791626930237,0.5443817973136902,
40,15:00:00,,2.43778920173645,1.571903944015503,0.0,,2.212095022201538,1.123408555984497,0.5443817973136902,
41,15:05:00,,2.427661895751953,1.579137802124023,0.0,,2.211371421813965,1.127025485038757,0.5443817973136902,
42,15:10:00,,2.44502329826355,1.567201852798462,0.0,,2.208477973937988,1.121238350868225,0.5429064631462097,
43,15:15:00,,2.450810194015503,1.614221572875977,0.0,,2.208477973937988,1.129919052124023,0.5443817973136902,
44,15:20:00,,2.456597328186035,1.647858738899231,0.0,,2.208477973937988,1.137152791023254,0.5473323464393616,
45,15:25:00,,2.485532522201538,1.689453125,0.0,,2.209924697875977,1.164641261100769,0.5532335042953491,
46,15:30:00,,2.479745388031006,1.715494871139526,0.0,,2.21064829826355,1.171875,0.5561840534210205,
47,15:35:00,,2.466724395751953,1.724537014961243,0.0,,2.21064829826355,1.17549192905426,0.5561840534210205,
48,15:40:00,,2.476128578186035,1.739727973937989,0.0,,2.208477973937988,1.176215291023254,0.5591346621513367,
49,15:45:00,,2.44502329826355,1.761791110038757,0.0,,2.20703125,1.179832100868225,0.5547087788581848,
50,15:50:00,,2.463830947875977,1.782045602798462,0.0,,2.209924697875977,1.16825807094574,0.5561840534210205,
51,15:55:00,,2.43778920173645,1.773003458976746,0.0,,2.208477973937988,1.15596067905426,0.5561840534210205,
